2019-03-16 20:28:01 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, unable to find the wallet for coinid 1455...
2019-03-16 20:28:01 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, bad mining address 2 kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1
2019-03-16 20:28:22 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, unable to find the wallet for coinid 1455...
2019-03-16 20:28:22 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, bad mining address 2 kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1
2019-03-16 20:29:00 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, isvalid is true
2019-03-17 00:42:06 [95.216.7.106] , sha256, update block, bad password
2019-03-17 00:42:33 [95.216.7.106] , sha256, update block, bad password
2019-03-17 00:44:15 [95.216.7.106] , sha256, update block, bad password
2019-03-17 00:44:26 [95.216.7.106] , sha256, update block, bad password
2019-03-17 00:44:54 [95.216.7.106] , sha256, update block, bad password
2019-03-17 00:45:26 [95.216.7.106] , sha256, update block, bad password
2019-03-17 00:45:30 [95.216.7.106] , sha256, update block, bad password
2019-03-17 00:46:05 [95.216.7.106] , sha256, update block, bad password
2019-03-17 00:46:18 [95.216.7.106] , sha256, update block, bad password
2019-03-17 00:49:29 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, unable to find the wallet for coinid 1455...
2019-03-17 00:49:29 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, bad mining address 2 kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1
2019-03-17 00:49:49 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, unable to find the wallet for coinid 1455...
2019-03-17 00:49:49 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, bad mining address 2 kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1
2019-03-17 00:50:10 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, unable to find the wallet for coinid 1455...
2019-03-17 00:50:10 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, bad mining address 2 kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1
2019-03-17 00:50:31 [180.180.209.246] kHfeCEf19K4NCCDHxsBcrpMjZRyqp7ghV1, sha256, unable to find the wallet for coinid 1455...
